address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
55 Forest Street,Hartford,USA,[],2026-03-29,cthar,1,District,cthar,,,,2026cthar,,,Hartford Public High School,NE District Hartford Event,,10,Double Elimination Bracket (8 Alliances),06105,,Hartford,2026-03-27,CT,America/New_York,"[{'channel': 'TlsCVBI_cgg', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'jo9u4TP6qXA', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.nefirst.org/,3,2026,ne,New England,2026ne,32,100,2026
568 Bucks Hill Road,Waterbury,USA,[],2026-03-22,ctwat,1,District,ctwat,,,,2026ctwat,,,Wilby High School,NE District Waterbury Event,,10,Double Elimination Bracket (8 Alliances),06704,,Waterbury,2026-03-20,CT,America/New_York,"[{'channel': '_nm3mJxEYVE', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'iExk84eUF6g', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'ngvsHrmoW8U', 'date': '2026-03-22', 'type': 'youtube'}, {'channel': '_0K-gqfTyvg', 'date': '2026-03-22', 'type': 'youtube'}]",http://www.nefirst.org/,2,2026,ne,New England,2026ne,32,100,2026
35 River Street,Billerica,USA,[],2026-03-08,mabil,1,District,mabil,,,,2026mabil,,,Billerica Memorial High School,NE District Minuteman Event,,10,Double Elimination Bracket (8 Alliances),01890,,Minuteman,2026-03-06,MA,America/New_York,"[{'channel': 'KlrFskk571E', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': '7v2DJBD98nQ', 'date': '2026-03-08', 'type': 'youtube'}]",https://www.nefirst.org/,0,2026,ne,New England,2026ne,32,100,2026
101 School Street,Revere,USA,[],2026-03-29,mabos,1,District,mabos,,,,2026mabos,,,Revere High School,NE District Greater Boston Event,,10,Double Elimination Bracket (8 Alliances),02151,,Greater Boston,2026-03-27,MA,America/New_York,"[{'channel': 'fq0UGS0PVzo', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': '1gxXDlIb8dQ', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.nefirst.org/,3,2026,ne,New England,2026ne,32,100,2026
62 Oakland Road,Reading,USA,[],2026-03-15,marea,1,District,marea,,,,2026marea,,,Reading Memorial High School,NE District North Shore Event,,10,Double Elimination Bracket (8 Alliances),01867,,North Shore,2026-03-13,MA,America/New_York,"[{'channel': 'EjaqEGFAQY8', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'DaDGZpYNBHg', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'C7wAqq_URxU', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': 'C06ydgm3p2s', 'date': '2026-03-15', 'type': 'youtube'}]",https://www.nefirst.org/,1,2026,ne,New England,2026ne,32,100,2026
1215 Wilbraham Road,Springfield,USA,[],2026-03-15,mawne,1,District,mawne,,,,2026mawne,,,Western New England University,NE District Western NE Event,,10,Double Elimination Bracket (8 Alliances),01119,,Western NE,2026-03-13,MA,America/New_York,"[{'channel': 'L30d3v5dfKM', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'HC5HxlNa40g', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'Q5cNV2sD31U', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': 'nQkfIGB5Msc', 'date': '2026-03-15', 'type': 'youtube'}]",https://nefirst.org/,1,2026,ne,New England,2026ne,32,100,2026
100 Institute Road,Worcester,USA,[],2026-04-05,mawor,1,District,mawor,,,,2026mawor,,,Harrington Auditorium,NE District WPI Event,,10,Double Elimination Bracket (8 Alliances),01609,,WPI,2026-04-03,MA,America/New_York,"[{'channel': 'Br7Vmfkk6-k', 'date': '2026-04-04', 'type': 'youtube'}, {'channel': 'cI5gemQp8vA', 'date': '2026-04-05', 'type': 'youtube'}]",https://nefirst.org/,4,2026,ne,New England,2026ne,32,100,2026
74 Woodville Road,Falmouth,USA,[],2026-03-08,mefal,1,District,mefal,,,,2026mefal,,,Falmouth High School,NE District Pine Tree Event,,10,Double Elimination Bracket (8 Alliances),04105,,Pine Tree,2026-03-06,ME,America/New_York,"[{'channel': '4UF_2YcBrIc', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': '8JodWCLDpIw', 'date': '2026-03-08', 'type': 'youtube'}]",https://www.nefirst.org/,0,2026,ne,New England,2026ne,32,100,2026
1305 Memorial Ave,West Springfield,USA,"['2026necmp1', '2026necmp2']",2026-04-18,necmp,2,District Championship,necmp,,,,2026necmp,,,Eastern States Exposition,New England FIRST District Championship,,9,Elimination Bracket (2 Alliances),01089,,New England,2026-04-18,MA,America/New_York,"[{'channel': 'LlmZ2I6WSc8', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': '_nc5hmVJrZw', 'date': '2026-04-18', 'type': 'youtube'}]",https://nefirst.org/,6,2026,ne,New England,2026ne,32,100,2026
1305 Memorial Ave,West Springfield,USA,[],2026-04-18,necmp1,5,District Championship Division,necmp1,,,,2026necmp1,,,Eastern States Exposition,New England FIRST District Championship - Burns Division presented by GlobalFoundries,2026necmp,10,Double Elimination Bracket (8 Alliances),01089,,NEDC - Burns,2026-04-15,MA,America/New_York,"[{'channel': 'i1cedzJVzzg', 'date': '2026-04-16', 'type': 'youtube'}, {'channel': 'vt824z7MRE4', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': '4OPiG9TmY4U', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': 'i1cedzJVzzg', 'type': 'youtube'}]",https://nefirst.org/,6,2026,ne,New England,2026ne,32,100,2026
1305 Memorial Ave,West Springfield,USA,[],2026-04-18,necmp2,5,District Championship Division,necmp2,,,,2026necmp2,,,Eastern States Exposition,New England FIRST District Championship - Newsom Division presented by GE Aerospace,2026necmp,10,Double Elimination Bracket (8 Alliances),01089,,NEDC - Newsom,2026-04-15,MA,America/New_York,"[{'channel': 'yZVHIA_-7F4', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': '9IG5d74lY8A', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': 'IekBkXezvIM', 'type': 'youtube'}]",https://nefirst.org/,6,2026,ne,New England,2026ne,32,100,2026
47 Nashua Road,Bedford,USA,[],2026-03-15,nhbed,1,District,nhbed,,,,2026nhbed,,,Bedford High School,NE District Granite State Event,,10,Double Elimination Bracket (8 Alliances),03110,,Granite State,2026-03-13,NH,America/New_York,"[{'channel': '2lyOL4N2x58', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 't6qtVG5IuRw', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'y_fDO1UVxAE', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': '71UT9403w3A', 'date': '2026-03-15', 'type': 'youtube'}]",http://www.nefirst.org/,1,2026,ne,New England,2026ne,32,100,2026
128 Main Street,Durham,USA,[],2026-03-29,nhdur,1,District,nhdur,,,,2026nhdur,,,Whittemore Center Arena,NE District UNH Event,,10,Double Elimination Bracket (8 Alliances),03827,,UNH,2026-03-27,NH,America/New_York,"[{'channel': 'P65bU_3Q0HA', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'Pa2ERwhhCDI', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'wkfqKrS2pFI', 'date': '2026-03-29', 'type': 'youtube'}, {'channel': '00D-waHlne0', 'date': '2026-03-29', 'type': 'youtube'}]",,3,2026,ne,New England,2026ne,32,100,2026
85 Keaney Road,Kingston,USA,[],2026-03-21,rikin,1,District,rikin,,,,2026rikin,,,Keaney Gym,NE District URI Event,,10,Double Elimination Bracket (8 Alliances),02881,,URI,2026-03-19,RI,America/New_York,"[{'channel': 'U-W2BAwTfGg', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'ZL_XryJCQX0', 'date': '2026-03-21', 'type': 'youtube'}]",https://www.nefirst.org/,2,2026,ne,New England,2026ne,32,100,2026
97 Spear Street,Burlington,USA,[],2026-04-04,vtbur,1,District,vtbur,,,,2026vtbur,,,Patrick Gym,NE District UVM Event,,10,Double Elimination Bracket (8 Alliances),05405,,UVM,2026-04-02,VT,America/New_York,"[{'channel': '9pvIREeAVpA', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'Zav0zRaH3io', 'date': '2026-04-04', 'type': 'youtube'}]",https://www.nefirst.org/,4,2026,ne,New England,2026ne,32,100,2026
